Avaliação,Sentimento previsto
"Produto de ótima qualidade, exatamente como descrito!",positivo
Veio com arranhões e embalagem danificada.,negativo
"Excelente custo-benefício, super recomendo.",positivo
Não corresponde ao que foi anunciado.,positivo
"Chegou antes do prazo, muito satisfeito com a compra.",positivo
"Material frágil, quebrou com poucos usos.",negativo
Produto original e bem embalado.,positivo
"A cor é diferente da foto, fiquei decepcionado.",negativo
"Funcionando perfeitamente, atende minhas necessidades.",positivo
Demorou muito para ser entregue e veio com defeito.,negativo
"Fácil de montar, manual bem explicado.",positivo
O tamanho não corresponde ao informado.,positivo
"Superou minhas expectativas, voltarei a comprar com o vendedor.",positivo
"Produto de baixa qualidade, não vale o preço.",negativo
Entrega rápida e produto bem protegido.,positivo
A caixa veio amassada e o produto com defeito.,negativo
"Ótimo acabamento e muito bonito, exatamente como esperava.",positivo
"Chegou com peças faltando, péssima experiência.",negativo
"Muito bom pelo preço, cumpre o que promete.",positivo
"O produto é bonito, mas o desempenho deixou a desejar.",positivo
